country,review_id,author,rating,version,title,content,updated,vote_sum,vote_count
us,14009236058,Aaliyah1765,5,1.5.10,Best event photo app!,"I used once for my bridal shower as a test run for my upcoming wedding on May 09th and loved every minute of it. It’s easy to use, my guests LOVED it and the photos are so amazing to see from everyone’s pov. I cannot wait to use it for the wedding next weekend!",2026-04-29T06:25:34-07:00,0,2
us,14000813363,A.Khan2009,1,1.5.9,horrible,"installed this with high hopes, big mistake it seems, all the pictures look as if a grainy snapchat filter has been slapped onto them. the quality is so bad im very very disappointed do not waste your time awaiting for the reveal at the end of your event, your better off just buying a real disposable camera.",2026-04-26T17:59:57-07:00,1,1
us,13983965138,SabrinaJones01,5,1.5.6,TOTALLY WORTH IT,"We used Once at my wedding and it was a total hit! All we did was to place the QR code at the entrance and literally everyone joined in including my grandpa (he had the most fun 😂).

All the photos were hilarious and lovely at the same time. Now all my friends are planning to use this at their weddings haha 

Shoutout to the team for fast and professional support when we had some questions at the start!",2026-04-21T22:18:03-07:00,0,1
us,13976032143,Iam_JOJO,2,1.5.5,Cool concept terrible execution,Love the idea but with the quality of the photos uploaded it’s best to just have people take their own pictures and send it to you. Feels like I wasted my money.,2026-04-19T13:41:23-07:00,1,1
us,13899521433,Kathy a bride? Shut up!,5,1.4.13,Loved it !!,This app is great and easy to use and also very cheap my bachelorette party didn’t have a photographer but everyone was one for the event who he’s I loved seeing everyone’s pictures.,2026-03-29T04:23:17-07:00,0,1
us,13785222992,armyjinx,3,1.4.9,Watermark Should Be Optional / Paid To Remove,Really liked the UI and playing around with this camera! However the once watermark on all exported photos wasn’t ideal for me / didn’t fit my preferences. Ended up going with a different app for my event!,2026-02-24T12:59:53-07:00,1,1
us,13550389718,Diana 🤍,5,1.3.0,Loved this at our wedding!,"Everyone at our wedding had sooo much fun using Once! We had a photo contest using it and even my grandparents joined in 😂 

Loved it so much that 3 of my best friends who are planning their weddings for next year plan to use it too!",2025-12-24T08:58:09-07:00,0,1
gb,14151800388,sxgerbear,3,1.6.4,Not worth all that money,"I love the concept of this and it’s a good idea!

You have to pay for more than 5 people which I think isn’t very fair as you’re already spending enough money on the actual event.",2026-06-06T12:05:33-07:00,0,0
gb,14054206953,Aivah_1717,5,1.5.10,More people free,Have a group of 10 but not paying 4 dollars,2026-05-11T15:45:00-07:00,0,0
gb,13729477955,dashaaa94,2,1.4.5,Great idea but needs further developing,"I think this is a great idea and I’ve been testing it before an event just to make sure it works properly before I put a very important event photos in the hands of technology and I’m glad I ended up testing it before. Firstly - it doesn’t work without internet connection which is not ideal and is super slow when you want to take a picture so the moment might be gone by the time you open it and take a photo, secondly some pictures just never appear after the film is available to be shown and thirdly in the latest film I created only 1 photo showed up in the album after the reveal time even though I took about 20 photos. Please look into all the flaws and if you are going to have a wedding and get multiple people take pictures on it, might be a bit risky.",2026-02-08T22:14:58-07:00,1,1
au,14092687079,Sanukutta,1,1.5.11,Video Not creating & No option to contact support,"I had one video created, I started my second project and the video is not created. I have my photos but no video. Now I am trying to see a contact email id to contact support and there is none. The company pages redirects to other apps. Pls help.",2026-05-22T05:09:33-07:00,0,0
au,13609784542,Sophie A. Taylor,5,1.4.0,Perfect for weddings!!,"We used this at my sister’s wedding and it was the highlight of the event. Everyone including our parents had sooo much fun taking photos with the disposable camera experience!

Highly recommended ❤️",2026-01-08T08:20:05-07:00,0,0
kr,13596973406,kevyyleee,5,1.3.1,Absolutely love Once!,"Loved using Once. Super easy everyone just scanned the QR and started dropping photos. We used it for a birthday, but it’d be perfect for weddings, trips, or even house parties. Honestly just makes sharing pics way less annoying. 100% recommend this app!",2026-01-05T01:38:24-07:00,0,0
kr,13572050942,dankim02,5,1.3.1,해외여행가거나 이벤트 있을때마다 쓰는데 넘 좋아요!🥺,"필름 카메라 찍고 다니는게 취미인데 비싸기도 하고 여행 가기 전에 사두는걸 자꾸 까먹어서 필카앱 찾다 발견했는데 짱입니다.. 친구들 필름에 초대해서 다같이 사진 공유할 수 있는 것도 너무 좋고, 특히 필름 느낌 사진이 진짜 예뻐요 ㅠㅠ 앱 자체도 예뻐서 쓸맛 남! 만족도 최고..",2025-12-30T00:28:46-07:00,0,0
